[2022-02-08 22:59:07,796] INFO [setUpClass testcase_02_register.py 14] Register接口用例页开始
[2022-02-08 22:59:09,422] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_para_nomal
[2022-02-08 22:59:09,422] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:09,422] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc","password":"hc66666","phone":"13349678458","addr":"深圳市南山区沙河街道"}
[2022-02-08 22:59:09,422] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-08 22:59:09,423] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"","nickname":null,"password":"hc66666","phone":"13349678458","result":"ok"}
[2022-02-08 22:59:09,424] INFO [testRegister testcase_02_register.py 34] 测试结果为Pass
[2022-02-08 22:59:09,636] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_para_mix
[2022-02-08 22:59:09,637] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:09,637] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc2","password":"hc66666","nickname":"hc2","addr":"深圳市南山区沙河街道"}
[2022-02-08 22:59:09,637] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-08 22:59:09,637] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc2","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"账户名已经存在！","nickname":"hc2","password":"hc66666","phone":"13349678458","result":"fail"}
[2022-02-08 22:59:09,638] INFO [testRegister testcase_02_register.py 47] 测试结果为Fail
[2022-02-08 22:59:09,739] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_para_len
[2022-02-08 22:59:09,739] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:09,740] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc4","password":"hc66666","phone":"158735667527356675273566752","addr":"深圳市南山区沙河街道"}
[2022-02-08 22:59:09,740] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-08 22:59:09,740] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc4","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"非法的电话号码！","nickname":"hc2","password":"hc66666","phone":"158735667527356675273566752","result":"fail"}
[2022-02-08 22:59:09,741] INFO [testRegister testcase_02_register.py 44] 测试结果为Pass
[2022-02-08 22:59:09,840] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_bypass_ui
[2022-02-08 22:59:09,840] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:09,840] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc5","password":"hc66666","phone":"-15873566752","addr":"深圳市南山区沙河街道"}
[2022-02-08 22:59:09,840] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-08 22:59:09,841] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc5","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"非法的电话号码！","nickname":"hc2","password":"hc66666","phone":"-15873566752","result":"fail"}
[2022-02-08 22:59:09,842] INFO [testRegister testcase_02_register.py 44] 测试结果为Pass
[2022-02-08 22:59:09,963] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_bypass_auth
[2022-02-08 22:59:09,963] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:09,963] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc3","password":"admin","addr":"深圳市南山区沙河街道"}
[2022-02-08 22:59:09,963] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-08 22:59:09,964] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc3","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"密码至少需要6位字符！","nickname":"hc2","password":"admin","phone":"-15873566752","result":"fail"}
[2022-02-08 22:59:09,965] INFO [testRegister testcase_02_register.py 44] 测试结果为Pass
[2022-02-08 22:59:10,098] INFO [TestCase_Log testcase_log.py 9] 测试用例：Register_business_logic
[2022-02-08 22:59:10,099] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/userAdd.action
[2022-02-08 22:59:10,099] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"account":"hc6","password":"hc66666","phone":"15873566752","addr":"深圳市南山区沙河街道","phone":"15873566752"}
[2022-02-08 22:59:10,099] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-08 22:59:10,099] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"account":"hc6","addr":"深圳市南山区沙河街道","birthday":null,"email":null,"id":0,"integrate":0,"msg":"非法的电话号码！","nickname":"hc2","password":"hc66666","phone":"15873566752","result":"fail"}
[2022-02-08 22:59:10,101] INFO [testRegister testcase_02_register.py 44] 测试结果为Pass
[2022-02-08 22:59:10,158] INFO [tearDownClass testcase_02_register.py 64] Register接口用例页结束
